PHARMACY_NAME,CITY,STATE NAME,STATE,ZIP,COUNTY,R/U
HOSPICE OF SOUTH TEXAS INPATIENT PHARMAC,VICTORIA,Texas,TX,77904,VICTORIA,URBAN
CVS/PHARMACY #16298,HOUSTON,Texas,TX,77040,HARRIS,URBAN
CVS/PHARMACY # 10691,MARBLE FALLS,Texas,TX,78654,BURNET,RURAL
CVS/PHARMACY #16865,GALVESTON,Texas,TX,77551,GALVESTON,URBAN
BROOKSHIRE BROTHERS PHARMACY #112,GRAPELAND,Texas,TX,75844,HOUSTON,RURAL
CVS/PHARMACY #17228,DENTON,Texas,TX,76205,DENTON,URBAN
CVS/PHARMACY #17095,SAN ANTONIO,Texas,TX,78245,BEXAR,URBAN
GEESONS PHARMACY,ARLINGTON,Texas,TX,76017,TARRANT,URBAN
COSTCO PHARMACY #1221,PEARLAND,Texas,TX,77584,BRAZORIA,URBAN
CVS/PHARMACY #10820,LAREDO,Texas,TX,78046,WEBB,URBAN
IMPULSE PHARMACY,BEDFORD,Texas,TX,76021,TARRANT,URBAN
CVS/PHARMACY #10638,HOUSTON,Texas,TX,77075,HARRIS,URBAN
RIVER MEDICAL PHARMACY INC,SAN ANTONIO,Texas,TX,78240,BEXAR,URBAN
PEOPLES PHARMACY #5,AUSTIN,Texas,TX,78727,TRAVIS,URBAN
MEMORIAL HERMANN CONVENIENT CARE CENTER,MISSOURI CITY,Texas,TX,77459,FORT BEND,URBAN
ASPCARES,AUSTIN,Texas,TX,78750,TRAVIS,URBAN
CVS/ PHARMACY #10840,MATHIS,Texas,TX,78368,SAN PATRICIO,URBAN
HEART OF TEXAS HEALTHCARE SYSTEM,BRADY,Texas,TX,76825,MCCULLOCH,RURAL
ASPCARES,HOUSTON,Texas,TX,77004,HARRIS,URBAN
CVS/PHARMACY #10675,MCKINNEY,Texas,TX,75071,COLLIN,URBAN
CVS/PHARMACY #10671,RICHMOND,Texas,TX,77407,FORT BEND,URBAN
FULL SPECTRUM EMERGENCY ROOM AT INWOOD,SAN ANTONIO,Texas,TX,78248,BEXAR,URBAN
PLANNED PARENTHOOD SOUTH TEXAS SURGERY C,SAN ANTONIO,Texas,TX,78229,BEXAR,URBAN
PLAZA PHARMACY,HOUSTON,Texas,TX,77055,HARRIS,URBAN
WOMENS & MENS HEALTH SERVICES OF COASTAL,KINGSVILLE,Texas,TX,78363,KLEBERG,RURAL
CVS/PHARMACY #10351,DALLAS,Texas,TX,75204,DALLAS,URBAN
CVS/PHARMACY #10428,SPRING BRANCH,Texas,TX,78070,COMAL,URBAN
SOUTHSIDE PHARMACY 9,THE WOODLANDS,Texas,TX,77380,MONTGOMERY,URBAN
IBN SINA COMMUNITY CLINIC-S. POST OAK,HOUSTON,Texas,TX,77053,FORT BEND,URBAN
SELECT SPECIALTY HOSPITAL - DALLAS INC.,DALLAS,Texas,TX,75246,DALLAS,URBAN
IBN SINA COMMUNITY CLINIC-WILCREST,HOUSTON,Texas,TX,77099,HARRIS,URBAN
ALTA CARE PHARMACY,DALLAS,Texas,TX,75211,DALLAS,URBAN
COLLIN DRUGS,ALLEN,Texas,TX,75013,COLLIN,URBAN
HOUSTON METHODIST SURGERY CENTER - NASSA,NASSAU BAY,Texas,TX,77058,HARRIS,URBAN
RITE CARE PHARMACY II,AUSTIN,Texas,TX,78705,TRAVIS,URBAN
WALGREENS # 15586,COLLEGE STA,Texas,TX,77845,BRAZOS,URBAN
LIBERTY DRUGS,DENVER CITY,Texas,TX,79323,YOAKUM,RURAL
HEALTH CNTR OF SE TEXAS-CLEVELAND,CLEVELAND,Texas,TX,77327,LIBERTY,URBAN
CVS/PHARMACY # 10179,SAN ANTONIO,Texas,TX,78205,BEXAR,URBAN
CVS/PHARMACY # 10311,SAN ANTONIO,Texas,TX,78259,BEXAR,URBAN
CARVAJAL PHARMACY WESLEY,SAN ANTONIO,Texas,TX,78211,BEXAR,URBAN
CVS/PHARMACY #4783,LUBBOCK,Texas,TX,79416,LUBBOCK,URBAN
CVS/PHARMACY # 10301,HOUSTON,Texas,TX,77008,HARRIS,URBAN
MS PHARMACY,TOMBALL,Texas,TX,77375,HARRIS,URBAN
CVS/PHARMACY # 10412,DONNA,Texas,TX,78537,HIDALGO,URBAN
CVS/PHARMACY # 10221,KILLEEN,Texas,TX,76542,BELL,URBAN
WALGREENS # 15513,BEAUMONT,Texas,TX,77701,JEFFERSON,URBAN
ALVARADO PHARMACY,ALVARADO,Texas,TX,76009,JOHNSON,URBAN
CVS/PHARMACY # 10264,SAN ANTONIO,Texas,TX,78220,BEXAR,URBAN
S & J MEDICAL CENTER PHARMACY,DECATUR,Texas,TX,76234,WISE,URBAN
CVS/PHARMACY # 7000,SAN ANTONIO,Texas,TX,78253,BEXAR,URBAN
WALGREENS # 15381,HARLINGEN,Texas,TX,78550,CAMERON,URBAN
SAM'S CLUB PHARMACY 10-6245,HARKER HEIGHTS,Texas,TX,76548,BELL,URBAN
WALGREENS # 15515,HOUSTON,Texas,TX,77094,HARRIS,URBAN
CENTROMED PHARMACY-SOUTHSIDE,SAN ANTONIO,Texas,TX,78221,BEXAR,URBAN
APPLE PHARMACY,MCALLEN,Texas,TX,78501,HIDALGO,URBAN
WALGREENS # 15187,ABILENE,Texas,TX,79601,TAYLOR,URBAN
CVS/PHARMACY # 10073,EL PASO,Texas,TX,79907,EL PASO,URBAN
CVS/PHARMACY #10339,LINDALE,Texas,TX,75771,SMITH,URBAN
HALLS PHARMACY # 2,FORT WORTH,Texas,TX,76116,TARRANT,URBAN
CVS/PHARMACY #10338,LA FERIA,Texas,TX,78559,CAMERON,URBAN
CVS/PHARMACY #10140,THE WOODLANDS,Texas,TX,77384,MONTGOMERY,URBAN
CHRISTUS ST MICHAEL HOSPITAL - ATLANTA,ATLANTA,Texas,TX,75551-2889,CASS,RURAL
BEST VALUE RHOME PHARMACY,RHOME,Texas,TX,76078,WISE,URBAN
SINA PHARMACY,KATY,Texas,TX,77449,HARRIS,URBAN
WALGREENS #13447,UVALDE,Texas,TX,78801-5639,UVALDE,RURAL
WALGREENS # 15012,WILLIS,Texas,TX,77318,MONTGOMERY,URBAN
PHARMACY 4 LESS,STAFFORD,Texas,TX,77477,FORT BEND,URBAN
PRUCARE PHARMACY INC,HOUSTON,Texas,TX,77025,HARRIS,URBAN
WHITE ROCK PHARMACY,DALLAS,Texas,TX,75218,DALLAS,URBAN
CVS/PHARMACY #4880,DECATUR,Texas,TX,76234,WISE,URBAN
"CANAL HEALTHCARE SOLUTIONS, LLC",HOUSTON,Texas,TX,77012,HARRIS,URBAN
CVS/PHARMACY #4109,SAN ANTONIO,Texas,TX,78253,BEXAR,URBAN
ASPCARES,SAN ANTONIO,Texas,TX,78229,BEXAR,URBAN
ADDIS PHARMACY,DENTON,Texas,TX,76208,DENTON,URBAN
TEXAS ONCOLOGY PHARMACY - GRAPEVINE,GRAPEVINE,Texas,TX,76051,TARRANT,URBAN
"METHODIST MCKINNEY HOSPITAL, LLC",MCKINNEY,Texas,TX,75070-5940,COLLIN,URBAN
PYRAMIDS PHARMACY,HOUSTON,Texas,TX,77079,HARRIS,URBAN
WALGREENS #11908,MCKINNEY,Texas,TX,75070,COLLIN,URBAN
APOTHECA COMPOUNDING PHARMACY,SAN ANTONIO,Texas,TX,78230,BEXAR,URBAN
CVS/PHARMACY #6824,DALLAS,Texas,TX,75231,DALLAS,URBAN
CVS/PHARMACY #6747,KATY,Texas,TX,77494,HARRIS,URBAN
CVS/PHARMACY #6491,VIDOR,Texas,TX,77662,ORANGE,URBAN
TEXAS ONCOLOGY PHARMACY PLANO WEST,PLANO,Texas,TX,75093,COLLIN,URBAN
BROOKSHIRE PHARMACY #68,SEVEN POINTS,Texas,TX,75143,HENDERSON,URBAN
CVS/PHARMACY #5935,BROWNSVILLE,Texas,TX,78520,CAMERON,URBAN
MEMORIAL SURGICAL SOLUTIONS,HOUSTON,Texas,TX,77043,HARRIS,URBAN
LONE STAR FAMILY HEALTH CENTER,CONROE,Texas,TX,77304,MONTGOMERY,URBAN
WALGREENS #10259,HOUSTON,Texas,TX,77093-4324,HARRIS,URBAN
SMA PHARMACY #10,DALLAS,Texas,TX,75246,DALLAS,URBAN
SAM'S CLUB PHARMACY 10-6367,HUMBLE,Texas,TX,77338,HARRIS,URBAN
CVS/PHARMACY #7765,AMARILLO,Texas,TX,79107,POTTER,URBAN
CVS/PHARMACY #7650,ARLINGTON,Texas,TX,76017,TARRANT,URBAN
CVS/PHARMACY #7551,SAN ANTONIO,Texas,TX,78225,BEXAR,URBAN
WALGREENS #7491,KATY,Texas,TX,77494,HARRIS,URBAN
CVS/PHARMACY #835,ELSA,Texas,TX,78543,HIDALGO,URBAN
SUPER 1 PHARMACY #630,CORSICANA,Texas,TX,75110,NAVARRO,RURAL
WALGREENS #9697,SAN ANTONIO,Texas,TX,78254,BEXAR,URBAN
CVS/PHARMACY #4427,HOUSTON,Texas,TX,77082,HARRIS,URBAN
CVS/PHARMACY #3708,GRAPEVINE,Texas,TX,76051,TARRANT,URBAN
"HUMBLE PHARMACY, INC.",HUMBLE,Texas,TX,77338-4204,HARRIS,URBAN
WALGREENS #9294,HOUSTON,Texas,TX,77007-7335,HARRIS,URBAN
SAM'S CLUB PHARMACY 10-8284,TYLER,Texas,TX,75701,SMITH,URBAN
CVS/PHARMACY #2988,HOUSTON,Texas,TX,77027,HARRIS,URBAN
CVS/PHARMACY #7679,IRVING,Texas,TX,75060,DALLAS,URBAN
WALGREENS #02020,GRAPEVINE,Texas,TX,76051-5029,TARRANT,URBAN
APPLE DRUGS #102,MESQUITE,Texas,TX,75150,DALLAS,URBAN
SALUD PHARMACY #1,DALLAS,Texas,TX,75224,DALLAS,URBAN
WALGREENS #11521,SAN ANTONIO,Texas,TX,78230,BEXAR,URBAN
HEIGHTS-STUDEWOOD PHARMACY,HOUSTON,Texas,TX,77008,HARRIS,URBAN
CVS/PHARMACY #5799,MCKINNEY,Texas,TX,75070,COLLIN,URBAN
CVS/PHARMACY #1104,ALLEN,Texas,TX,75002,COLLIN,URBAN
COMMUNITYCARE-PFLUGERVILLE,PFLUGERVILLE,Texas,TX,78660,TRAVIS,URBAN
CVS/PHARMACY #3190,HOUSTON,Texas,TX,77095,HARRIS,URBAN
CVS/PHARMACY #7806,GRAPEVINE,Texas,TX,76051,TARRANT,URBAN
CVS/PHARMACY #7481,GARLAND,Texas,TX,75040,DALLAS,URBAN
CVS/PHARMACY #7461,MANSFIELD,Texas,TX,76063,TARRANT,URBAN
CVS/PHARMACY #7449,BEDFORD,Texas,TX,76021,TARRANT,URBAN
CVS/PHARMACY #7445,BOWIE,Texas,TX,76230,MONTAGUE,RURAL
CVS/PHARMACY #7198,HOUSTON,Texas,TX,77021,HARRIS,URBAN
WALGREENS #11401,DALLAS,Texas,TX,75230,DALLAS,URBAN
PASADENA MEDICAL PLAZA PHARMACY,PASADENA,Texas,TX,77502,HARRIS,URBAN
CHRISTUS SANTA ROSA HOSPITAL-WESTOVER HI,SAN ANTONIO,Texas,TX,78251,BEXAR,URBAN
"LIFE DRUGS RX, LLC",HOUSTON,Texas,TX,77070,HARRIS,URBAN
"ABILENE SURGERY CENTER, LLC",ABILENE,Texas,TX,79606,TAYLOR,URBAN
WALGREENS #12522,TYLER,Texas,TX,75701,SMITH,URBAN
BEST VALUE MEDICAL CENTER PHARMACY,GLEN ROSE,Texas,TX,76043,SOMERVELL,RURAL
OPTION CARE,HOUSTON,Texas,TX,77054,HARRIS,URBAN
SAM'S CLUB PHARMACY 10-8250,MCALLEN,Texas,TX,78503,HIDALGO,URBAN
COSTCO PHARMACY #689,SAN ANTONIO,Texas,TX,78249,BEXAR,URBAN
SERENITY PARK PHARMACY,MC CAMEY,Texas,TX,79752,UPTON,RURAL
"PARAGON INFUSION CARE, INC - SAN ANTONIO",SAN ANTONIO,Texas,TX,78259,BEXAR,URBAN
WALGREENS #12494,PORT LAVACA,Texas,TX,77979,CALHOUN,RURAL
HILL REGIONAL HOSPITAL PHARMAC,HILLSBORO,Texas,TX,76645,HILL,RURAL
WALGREENS #5269,CONROE,Texas,TX,77301,MONTGOMERY,URBAN
J & I PHARMACY,HOUSTON,Texas,TX,77083,FORT BEND,URBAN
CVS/PHARMACY #1368,ATLANTA,Texas,TX,75551,CASS,RURAL
ACCESS HEALTH BROOKSHIRE CENTER,BROOKSHIRE,Texas,TX,77423,WALLER,RURAL
CVS/PHARMACY #7709,TYLER,Texas,TX,75702,SMITH,URBAN
CVS/PHARMACY #7477,NEDERLAND,Texas,TX,77627,JEFFERSON,URBAN
CVS/PHARMACY #5512,SAN ANTONIO,Texas,TX,78244,BEXAR,URBAN
CVS/PHARMACY #6978,WICHITA FALLS,Texas,TX,76310,WICHITA,URBAN
BAYLOR SCOTT & WHITE MEDICAL CENTER - PL,PLANO,Texas,TX,75093,COLLIN,URBAN
BROOKSHIRE PHARMACY #801,TYLER,Texas,TX,75703,SMITH,URBAN
CVS/PHARMACY #6240,HOUSTON,Texas,TX,77025,HARRIS,URBAN
CVS/PHARMACY #4383,PASADENA,Texas,TX,77505,HARRIS,URBAN
CVS/PHARMACY #3699,DEER PARK,Texas,TX,77536,HARRIS,URBAN
BROOKSHIRE BROS. PHARMACY #16,CLEVELAND,Texas,TX,77327,LIBERTY,URBAN
MED-CARE PHARMACY,EDINBURG,Texas,TX,78539,HIDALGO,URBAN
CVS/PHARMACY #7471,CORPUS CHRISTI,Texas,TX,78418,NUECES,URBAN
CVS/PHARMACY #7451,GRAPEVINE,Texas,TX,76051,TARRANT,URBAN
CVS/PHARMACY #6964,AUSTIN,Texas,TX,78703,TRAVIS,URBAN
ADVANT-EDGE PHARMACY 2,HORIZON CITY,Texas,TX,79928,EL PASO,URBAN
CYPRESS FAIRBANKS - ACP,HOUSTON,Texas,TX,77065,HARRIS,URBAN
PLANNED PARENTHOOD OF GREATER TEXAS,FORT WORTH,Texas,TX,76132,TARRANT,URBAN
BROOKSHIRE BROTHERS PHY #25,LUFKIN,Texas,TX,75904,ANGELINA,URBAN
BROOKSHIRE PHARMACY #36,WHITNEY,Texas,TX,76692,HILL,RURAL
BROOKSHIRE BROTHERS PHY #1003,BEAUMONT,Texas,TX,77705,JEFFERSON,URBAN
NUCARE PHARMACY,LAKE WORTH,Texas,TX,76135-3706,TARRANT,URBAN
WALGREENS #11233,LUBBOCK,Texas,TX,79401-2614,LUBBOCK,URBAN
CVS/PHARMACY #6864,WAXAHACHIE,Texas,TX,75165,ELLIS,URBAN
COSTCO PHARMACY #693,SAN ANTONIO,Texas,TX,78232,BEXAR,URBAN
WALGREENS #10816,CARROLLTON,Texas,TX,75007-5334,DENTON,URBAN
CVS/PHARMACY #784,HOUSTON,Texas,TX,77004,HARRIS,URBAN
GALLOWAY PHARMACY,MESQUITE,Texas,TX,75149,DALLAS,URBAN
HOPE PROFESSIONAL COMPOUNDING PHARMACY,KATY,Texas,TX,77450,HARRIS,URBAN
COSTCO PHARMACY #664,PLANO,Texas,TX,75074,COLLIN,URBAN
CVS/PHARMACY #7459,SUGAR LAND,Texas,TX,77478,FORT BEND,URBAN
SAM'S CLUB PHARMACY 10-6372,DALLAS,Texas,TX,75231,DALLAS,URBAN
VALMED PHARMACY SOLUTIONS,AMARILLO,Texas,TX,79124,POTTER,URBAN
CVS/PHARMACY #5869,MESQUITE,Texas,TX,75150,DALLAS,URBAN
CVS/PHARMACY #5843,LEAGUE CITY,Texas,TX,77573,GALVESTON,URBAN
THE CENTER PHARMACY,FORT WORTH,Texas,TX,76104,TARRANT,URBAN
EAST TX BEHAVIORAL HEALTHCARE NETWORK PH,LUFKIN,Texas,TX,75904,ANGELINA,URBAN
CLEARVIEW SURGERY CENTER,SOUTHLAKE,Texas,TX,76092,TARRANT,URBAN
SAM'S PHARMACY INC.,HOUSTON,Texas,TX,77074,HARRIS,URBAN
TEXAS ONCOLOGY PHARMACY METHODIST CHARLT,DALLAS,Texas,TX,75237,DALLAS,URBAN
TEXAS ONCOLOGY PHARMACY-BEAUMONT,BEAUMONT,Texas,TX,77702,JEFFERSON,URBAN
TEXAS ONCOLOGY PHARMACY-WACO,WACO,Texas,TX,76712,MCLENNAN,URBAN
TEXAS ONCOLOGY PHARMACY-PARIS,PARIS,Texas,TX,75460,LAMAR,RURAL
WALGREENS #11216,HOUSTON,Texas,TX,77089-6073,HARRIS,URBAN
TEXAS HEALTH PRESBYTERIAN HOSPITAL DENTO,DENTON,Texas,TX,76201-5119,DENTON,URBAN
CASH SAVER COST PLUS PHARMACY #1401,WINTERS,Texas,TX,79567,RUNNELS,RURAL
WALGREENS #6484,HOUSTON,Texas,TX,77063,HARRIS,URBAN
HEALTH SCRIPTS INC,SPRING,Texas,TX,77379,HARRIS,URBAN
WALGREENS #5765,BOERNE,Texas,TX,78006,KENDALL,RURAL
SAM'S CLUB PHARMACY 10-8210,BURLESON,Texas,TX,76028,JOHNSON,URBAN
WALGREENS #10819,RICHARDSON,Texas,TX,75081,DALLAS,URBAN
TEXAS ONCOLOGY PHARMACY - AUSTIN SOUTH,AUSTIN,Texas,TX,78745,TRAVIS,URBAN
"BVM PHARMACY, INC",HOUSTON,Texas,TX,77080,HARRIS,URBAN
CVS/PHARMACY #6893,AUSTIN,Texas,TX,78731,TRAVIS,URBAN
CVS/PHARMACY #6665,HOUSTON,Texas,TX,77029,HARRIS,URBAN
CVS/PHARMACY #6418,HOUSTON,Texas,TX,77089,HARRIS,URBAN
CVS/PHARMACY #3180,MANSFIELD,Texas,TX,76063,TARRANT,URBAN
CVS/PHARMACY #3176,HOUSTON,Texas,TX,77074,HARRIS,URBAN
SCHLEICHER COUNTY MEDICAL CTR.,ELDORADO,Texas,TX,76936,SCHLEICHER,RURAL
CVS/PHARMACY #7724,SAN ANTONIO,Texas,TX,78230,BEXAR,URBAN
WALGREENS #11272,BEE CAVE,Texas,TX,78738,TRAVIS,URBAN
AVENUE 360 HEALTH AND WELLNESS,HOUSTON,Texas,TX,77008,HARRIS,URBAN
SAVON PHARMACY #1006,EL PASO,Texas,TX,79903,EL PASO,URBAN
SHANNON HEALTH SYSTEM PHARMACY - PAP,SAN ANGELO,Texas,TX,76905,TOM GREEN,URBAN
ACORN PHARMACY,DALLAS,Texas,TX,75206,DALLAS,URBAN
BCP VETERINARY PHARMACY,HOUSTON,Texas,TX,77003,HARRIS,URBAN
HOSPICE OF WICHITA FALLS PHCY,WICHITA FALLS,Texas,TX,76310,WICHITA,URBAN
SEAY BEHAVIORAL HEALTH CTR PHY,PLANO,Texas,TX,75093-7939,COLLIN,URBAN
MEMORIAL HERMANN SPECIALTY HOSPITAL KING,KINGWOOD,Texas,TX,77339,HARRIS,URBAN
BROOKSHIRE BROTHERS PHARMACY #1007,WALLER,Texas,TX,77484,WALLER,RURAL
SETON MEDICAL CENTER HAYS,KYLE,Texas,TX,78640,HAYS,URBAN
ASPIRE HOSPITAL LLC,CONROE,Texas,TX,77304,MONTGOMERY,URBAN
MAGNOLIA PHARMACY,MAGNOLIA,Texas,TX,77354,MONTGOMERY,URBAN
FRANK'S SPECIALTY PHARMACY,KATY,Texas,TX,77494,FORT BEND,URBAN
AMERITA INC,AUSTIN,Texas,TX,78758,TRAVIS,URBAN
UNIVERSAL'S HOSPICE AND PALLIATIVE CARE,FORT WORTH,Texas,TX,76112,TARRANT,URBAN
HOUSTON METHODIST BAYTOWN AMBULATORY,BAYTOWN,Texas,TX,77521,HARRIS,URBAN
CUNNINGHAM PHARMACY GULFBANK,HOUSTON,Texas,TX,77023,HARRIS,URBAN
SAM'S CLUB PHARMACY 10-6338,COLLEGE STATION,Texas,TX,77845,BRAZOS,URBAN
CVS/PHARMACY #7466,CANTON,Texas,TX,75103,VAN ZANDT,URBAN
"CULBERSON HOSPITAL, INC.",VAN HORN,Texas,TX,79855,CULBERSON,RURAL
WALGREENS #10681,SEALY,Texas,TX,77474-3930,AUSTIN,RURAL
CVS/PHARMACY #7416,HUMBLE,Texas,TX,77346,HARRIS,URBAN
TEXAS ONCOLOGY PHARMACY-ODESSA,ODESSA,Texas,TX,79761,ECTOR,URBAN
CVS/PHARMACY #8337,ROCKWALL,Texas,TX,75087,ROCKWALL,URBAN
WALGREENS #10392,BELTON,Texas,TX,76513-1510,BELL,URBAN
CVS/PHARMACY #7831,SAN ANTONIO,Texas,TX,78249,BEXAR,URBAN
BROOKSHIRE PHARMACY #131,ANNA,Texas,TX,75409,COLLIN,URBAN
WALGREENS #4099,ARLINGTON,Texas,TX,76017,TARRANT,URBAN
VILLAGE PHARMACY,CONROE,Texas,TX,77304,MONTGOMERY,URBAN
LORD AND A PHARMACY INC,DALLAS,Texas,TX,75215,DALLAS,URBAN
CVS/PHARMACY #6992,CORPUS CHRISTI,Texas,TX,78412,NUECES,URBAN
CVS/PHARMACY #6986,CORPUS CHRISTI,Texas,TX,78405,NUECES,URBAN
CVS/PHARMACY #6968,ARLINGTON,Texas,TX,76010,TARRANT,URBAN
CVS/PHARMACY #6899,LONGVIEW,Texas,TX,75604,GREGG,URBAN
SAM'S CLUB PHARMACY 10-6376,DALLAS,Texas,TX,75244,DALLAS,URBAN
WALGREENS #4293,DESOTO,Texas,TX,75115,DALLAS,URBAN
PETERSON REGIONAL AMBULATORY CARE CENTER,KERRVILLE,Texas,TX,78028,KERR,URBAN
CVS/PHARMACY #2876,PROSPER,Texas,TX,75078,COLLIN,URBAN
SOUTHWEST COMMUNITY PHARMACY,HOUSTON,Texas,TX,77036,HARRIS,URBAN
CVS/PHARMACY #8340,LUBBOCK,Texas,TX,79407,LUBBOCK,URBAN
MIDWAY FAMILY PLANNING SERVICES INC.,BROWNWOOD,Texas,TX,76801,BROWN,RURAL
WALGREENS #7614,LUMBERTON,Texas,TX,77657,HARDIN,URBAN
BROOKSHIRE PHARMACY #19,WILLS POINT,Texas,TX,75169,VAN ZANDT,URBAN
WALGREENS #5476,KELLER,Texas,TX,76248,TARRANT,URBAN
WALGREENS #2115,HOUSTON,Texas,TX,77089-2409,HARRIS,URBAN
SUPER 1 PHARMACY #610,TYLER,Texas,TX,75702,SMITH,URBAN
"Y MEDICAL ASSOCIATES, INC.",IRVING,Texas,TX,75063,DALLAS,URBAN
WALGREENS #6197,DALLAS,Texas,TX,75233-4015,DALLAS,URBAN
THE MEDICINE SHOPPE #708,SHERMAN,Texas,TX,75092,GRAYSON,URBAN
WALGREENS #9602,THE WOODLANDS,Texas,TX,77381,MONTGOMERY,URBAN
BROOKSHIRE PHCY #74,GREENVILLE,Texas,TX,75402,HUNT,URBAN
PHARMACY PLUS #5,WACO,Texas,TX,76708,MCLENNAN,URBAN
PLANNED PARENTHOOD OF GREATER TEXAS,PARIS,Texas,TX,75460,LAMAR,RURAL
"FAMILY PLANNING CLINIC, STFPHC",KINGSVILLE,Texas,TX,78363,KLEBERG,RURAL
AUSTIN INFECTIOUS DISEASE PHCY,AUSTIN,Texas,TX,78705,TRAVIS,URBAN
SAVON PHARMACY #135,TEXARKANA,Texas,TX,75501,BOWIE,URBAN
LAREDO PHARMACY,LAREDO,Texas,TX,78043,WEBB,URBAN
MONTGOMERY COUNTY MENTAL HEALTH TREATMEN,CONROE,Texas,TX,77301,MONTGOMERY,URBAN
TEXAS CHILDREN'S HOSPITAL-WEST CAMPUS,HOUSTON,Texas,TX,77094,HARRIS,URBAN
WALGREENS #4113,ALVIN,Texas,TX,77511-3460,BRAZORIA,URBAN
MARITIME PHARMACY,HOUSTON,Texas,TX,77012,HARRIS,URBAN
BROOKSHIRE BROS. PHCY #68,MCGREGOR,Texas,TX,76657,MCLENNAN,URBAN
NORTH CENTRAL TX COMMUNITY HEALTH CARE C,WICHITA FALLS,Texas,TX,76307,WICHITA,URBAN
BEST RX PHARMACY,DICKINSON,Texas,TX,77539,GALVESTON,URBAN
"DEERBROOK PHARMACY, LLC",HUMBLE,Texas,TX,77338,HARRIS,URBAN
BROOKSHIRE BROS. PHCY #12,CROCKETT,Texas,TX,75935,SHELBY,RURAL
WALGREENS #4132,HURST,Texas,TX,76053,TARRANT,URBAN
WALGREENS #4551,SAN ANTONIO,Texas,TX,78230,BEXAR,URBAN
SMITHVILLE PHARMACY,SMITHVILLE,Texas,TX,78957,BASTROP,URBAN
BROOKSHIRE BROS. PHCY #54,BUFFALO,Texas,TX,75831,LEON,RURAL
WALGREENS #03696,SUGAR LAND,Texas,TX,77479,FORT BEND,URBAN
REGENCE HEALTH NETWORK INC,PLAINVIEW,Texas,TX,79072,HALE,RURAL
CHI ST JOSEPH HEALTH BURLESON HOSPITAL,CALDWELL,Texas,TX,77836,BURLESON,RURAL
WALGREENS #4839,KATY,Texas,TX,77450,HARRIS,URBAN
WALGREENS #3328,HOUSTON,Texas,TX,77024,HARRIS,URBAN
GATEWAY COMMUNITY HEALTH CENTER INC/PHAR,LAREDO,Texas,TX,78041,WEBB,URBAN
CENTRO SAN VICENTE SAN ELIZARI,SAN ELIZARIO,Texas,TX,79849,EL PASO,URBAN
WALGREENS #2462,AUSTIN,Texas,TX,78702,TRAVIS,URBAN
WALGREENS #9410,ATHENS,Texas,TX,75751,HENDERSON,URBAN
COMMUNITY HEALTH SERVICES,LOCKHART,Texas,TX,78644,CALDWELL,RURAL
PRO MED RX,SUGAR LAND,Texas,TX,77478,FORT BEND,URBAN
BAYLOR SCOTT & WHITE MEDICAL CENTER - LL,LLANO,Texas,TX,78643,LLANO,RURAL
